SP500,Gas,Nasdaq
2086.59,2.14,5102.48
2089.14,2.1,5102.81
2088.87,2.06,5116.14
.,2.01,.
2090.11,2,5127.52
2080.41,1.95,5108.67
2102.63,1.79,5156.31
2079.51,1.7,5123.22
2049.62,1.66,5037.53
2091.69,1.7,5142.27
2077.07,1.79,5101.81
2063.59,1.74,5098.24
2047.62,1.76,5022.87
2052.23,1.73,5045.17
2012.37,1.63,4933.47
2021.94,1.63,4952.23
2043.41,1.63,4995.36
2073.07,2.11,5071.13
2041.89,2.39,5002.55
2005.55,2.28,4923.08
2021.15,2.28,4968.92
2038.97,2.28,5001.11
2064.29,2.39,5045.93
2060.99,2.33,5048.49
.,2.37,.
2056.5,2.35,5040.99
2078.36,2.47,5107.94
2063.36,2.54,5065.85
2043.94,2.4,5007.41
.,2.28,.
2012.66,2.21,4903.09
2016.71,2.18,4891.43
1990.26,2.18,4835.76
1943.09,2.23,4689.43
1922.03,2.18,4643.63
1923.67,2.22,4637.99
1938.68,2.21,4685.92
1890.28,2.16,4526.06
1921.84,2.26,4615
1880.33,2.26,4488.42
.,2.15,.
1881.33,2.28,4476.95
1859.33,2.28,4471.69
1868.99,2.07,4472.06
1906.9,2.06,4591.18
1877.08,2.07,4518.49
1903.63,2.08,4567.67
1882.95,2.23,4468.17
1893.36,2.17,4506.68
1940.24,2.16,4613.95
1939.38,2.15,4620.37
1903.03,2.08,4516.95
1912.53,2.08,4504.24
1915.45,1.95,4509.56
1880.05,1.93,4363.14
1853.44,1.89,4283.75
1852.21,1.83,4268.76
1851.86,1.86,4283.59
1829.08,1.85,4266.84
1864.78,1.85,4337.51
.,1.78,.
1895.58,1.78,4435.96
1926.82,1.62,4534.06
1917.83,1.57,4487.54
1917.78,1.6,4504.43
1945.5,1.59,4570.61
1921.27,1.49,4503.58
1929.8,1.56,4542.61
1951.7,1.6,4582.2
1948.05,1.61,4590.47
1932.23,1.72,4557.95
1978.35,1.74,4689.6
1986.45,1.68,4703.42
1993.4,1.81,4707.42
1999.99,1.77,4717.02
2001.76,1.84,4708.25
1979.26,1.84,4648.82
1989.26,1.79,4674.38
1989.57,1.79,4662.16
2022.19,1.79,4748.47
2019.64,1.78,4750.28
2015.93,1.78,4728.67
2027.22,1.78,4763.97
2040.59,1.77,4774.99
2049.58,1.87,4795.65
2051.6,1.98,4808.87
2049.8,1.88,4821.66
2036.71,1.96,4768.86
2035.94,1.96,4773.51
.,1.91,.
2037.05,1.96,4766.79
2055.01,1.99,4846.62
2063.95,1.9,4869.29
2059.74,1.97,4869.85
2072.78,2.01,4914.54
2066.13,1.93,4891.8
2045.17,1.71,4843.93
2066.66,1.76,4920.72
2041.91,1.94,4848.37
2047.6,1.94,4850.69
2041.99,1.96,4833.4
2061.72,1.92,4872.09
2082.42,1.97,4947.42
2082.78,1.97,4945.89
2080.73,1.88,4938.22
2094.34,1.88,4960.02
2100.8,1.89,4940.33
2102.4,1.91,4948.13
2091.48,1.94,4945.89
2091.58,2.03,4906.23
2087.79,2.05,4895.79
2091.7,1.86,4888.28
2095.15,2.01,4863.14
2075.81,2.01,4805.29
2065.3,2.01,4775.36
2081.43,2.01,4817.59
2063.37,1.96,4763.22
2051.12,1.91,4725.64
2050.63,1.97,4717.09
2057.14,1.91,4736.16
2058.69,1.83,4750.21
2084.39,1.81,4809.88
2064.46,1.96,4760.69
2064.11,1.91,4737.33
2046.61,1.77,4717.68
2066.66,1.77,4775.46
2047.21,1.77,4715.73
2047.63,1.77,4739.12
2040.04,2.12,4712.53
2052.32,2.25,4769.56
2048.04,2.3,4765.78
2076.06,2.31,4861.06
2090.54,2.32,4894.89
2090.1,2.32,4901.77
2099.06,2.36,4933.5
.,2.34,.
2096.96,2.46,4948.05
2099.33,2.55,4952.25
2105.26,2.55,4971.36
2099.13,2.62,4942.52
2109.41,2.62,4968.71
2112.13,2.59,4961.75
2119.12,2.74,4974.64
2115.48,2.79,4958.62
2096.07,2.82,4894.55
2079.06,2.69,4848.44
2075.32,2.71,4843.55
2071.5,2.79,4834.93
2077.99,2.89,4844.91
2071.22,2.94,4800.34
2083.25,2.94,4837.21
2088.9,2.89,4843.76
2085.45,2.89,4833.32
2113.32,2.82,4910.04
2037.41,2.82,4707.98
2000.54,2.78,4594.44
2036.09,2.8,4691.87
2070.77,2.88,4779.25
2098.86,2.88,4842.67
2102.95,2.81,4862.57
.,2.79,.
2088.55,2.7,4822.9
2099.73,2.83,4859.16
2097.9,2.83,4876.81
2129.9,2.76,4956.76
2137.16,2.76,4988.64
2152.14,2.8,5022.82
2152.43,2.8,5005.73
2163.75,2.84,5034.06
2161.74,2.84,5029.59
2166.89,2.79,5055.78
2163.78,2.97,5036.37
2173.02,2.97,5089.93
2165.17,2.79,5073.9
2175.03,2.89,5100.16
2168.48,2.89,5097.63
2169.18,2.88,5110.05
2166.58,2.85,5139.81
2170.06,2.85,5154.98
2173.6,2.76,5162.13
2170.84,2.7,5184.2
2157.03,2.7,5137.73
2163.79,2.75,5159.74
2164.25,2.75,5166.25
2182.87,2.76,5221.12
2180.89,2.75,5213.14
2181.74,2.67,5225.48
2175.49,2.75,5204.58
2185.79,2.75,5228.4
2184.05,2.82,5232.89
2190.15,2.89,5262.02
2178.15,2.91,5227.11
2182.22,2.97,5228.66
2187.02,2.95,5240.15
2183.87,2.95,5238.38
2182.64,2.95,5244.6
2186.9,2.88,5260.08
2175.44,2.88,5217.69
2172.47,2.88,5212.2
2169.04,2.77,5218.92
2180.38,2.88,5232.33
2176.12,2.93,5222.99
2170.95,3.04,5213.22
2170.86,3.04,5227.21
2179.98,3.07,5249.9
.,2.98,.
2186.48,2.97,5275.91
2186.16,3,5283.93
2181.3,3.12,5259.48
2127.81,3.19,5125.91
2159.04,3.18,5211.89
2127.02,3.06,5155.25
2125.77,3.06,5173.77
2147.26,3.09,5249.69
2139.16,3.07,5244.57
2139.12,2.98,5235.03
2139.76,2.84,5241.35
2163.12,2.84,5295.18
2177.18,2.83,5339.52
2164.69,2.83,5305.75
2146.1,3.04,5257.49
2159.93,3.02,5305.71
2171.37,3.18,5318.55
2151.13,3.17,5269.15
2168.27,3.17,5312
2161.2,3.16,5300.87
2150.49,3.18,5289.66
2159.73,3.21,5316.02
2160.77,3.25,5306.85
2153.74,3.18,5292.4
2163.66,3.12,5328.67
2136.73,2.92,5246.79
2139.18,2.78,5239.02
2132.55,2.69,5213.33
2132.98,2.69,5214.16
2126.5,2.72,5199.82
2139.6,2.72,5243.84
2144.29,2.85,5246.41
2141.34,2.53,5241.83
2141.16,2.53,5257.4
2151.33,2.41,5309.83
2143.16,2.2,5283.4
2139.43,2.37,5250.27
2133.04,2.34,5215.97
2126.41,2.22,5190.1
2126.15,2.08,5189.13
2111.72,2.08,5153.58
2097.94,2.26,5105.57
2088.66,2.49,5058.41
2085.18,2.49,5046.37
2131.52,2.37,5166.17
2139.56,2.6,5193.49
2163.26,2.81,5251.07
2167.48,2.73,5208.8
2164.45,2.76,5237.11
2164.2,2.76,5218.4
2180.39,2.76,5275.62
2176.94,2.96,5294.58
2187.12,3.02,5333.97
2181.9,3.32,5321.51
2198.18,3.32,5368.86
2202.94,3.44,5386.35
2204.72,3.44,5380.68
.,3.75,.
2213.35,3.8,5398.92
2201.72,3.68,5368.81
2204.66,3.75,5379.92
2198.81,3.6,5323.68
2191.08,3.65,5251.11
2191.95,3.55,5255.65
2204.71,3.56,5308.89
2212.23,3.51,5333
2241.35,3.55,5393.76
2246.19,3.39,5417.36
2259.53,3.5,5444.5
2256.96,3.5,5412.54
2271.72,3.6,5463.83
2253.28,3.6,5436.67
2262.03,3.7,5456.85
2258.07,3.7,5437.16
